product_id,product_name,price_after,price_before,discount
6224008507802,زيت ظاظا خليط - 700 مللي,45.95,39.95,13.057671381936887
6223001642619,زيت خليط سمارت - 700 جم,41.5,38.45,7.3493975903614395
6225000573628,ألمصطفى أرز مصري فاخر - 1 كيلو,32.25,29.95,7.131782945736437
6223007941419,بيكي بيكر دقيق لجميع الاستخدامات - 1 كيلو,19.75,19.75,0
6223000662526,دقيق مصري فاخر من الضحى - 1 كجم,28.15,24.95,11.36767317939609
6224008982197,أصلهان أرز مصري فاخر - 1 كيلو,29.25,29.25,0
6224008985013,سفرة أرز مصري - 1 كجم,34.5,34.5,0
6224000493387,سكر أبيض أحلى مذاق - 1 كجم,20.95,20.95,0
6223001510314,مكرونة فرن إيطاليانو - 400جم,15.7,13.45,14.331210191082802
6223001512509,مكرونة فرن الملكة - 400 جرام,9.45,9.45,0
6224007250006,الخير ملح طعام يودي مكرر ناعم - 225 جرام,0.95,0.95,0
6223001512257,شعرية الملكة - 400 جرام,9.45,9.45,0
6224000200503,رويال مكرونة فرن - 1كجم,24.95,24.95,0
6223001030225,كوكس فانيليا - 1جم,0.65,0.65,0
6223001512530,مكرونة اسباجتي الملكة - 400 جرام,9.45,9.45,0
6222000508551,زيت عباد الشمس من كرستال - 2.2 لتر,159.15,159.15,0
6223001510000,مكرونة سباجتي ايطاليانو - 400 جرام,15.7,13.45,14.331210191082802
6223001512301,لسان عصفور الملكة - 400 جرام,9.45,9.45,0
6223000193532,خل أبيض من وادي فوود - 1 لتر,16.25,16.25,0
6224007824856,دراهم دقيق أبيض - 1 كجم,19.95,18.95,5.012531328320803
6224000200589,رويال مكرونة اسباجيتي - 1كجم,24.95,24.95,0
6223001512479,مكرونة مرمرية من الملكة - 400 جم,9.45,9.45,0
6223001030003,كوكس بيكنج بودر - 16جم,2.2,2.2,0
6223000264348,عافية زيت دوار الشمس - 2.2 لتر,148.45,148.45,0
6224007719657,نمرة1  صلصة طماطم - 300 جم,14.95,9.95,33.44481605351171
6223001510109,مكرونة مرمرية إيطاليانو - 400جم,15.7,13.45,14.331210191082802
6223001030508,ملح يود كوكس - 700 جم,7.75,7.75,0
6223001061168,صلصة طماطم هارفست - 800 جم,54.95,54.95,0
6223001086215,فانيليا دريم - 2جم,0.95,0.95,0
6224001901010,فوديوم صلصة طماطم - 280 جرام,9.95,9.95,0
6224000200541,رويال مكرونة مرمرية - 1كجم,24.95,24.95,0
6223001510772,إيطاليانو مكرونة فيوتيتشيني - 400جم,15.7,13.45,14.331210191082802
6222000507264,زيت دوار الشمس كريستال - 5 لتر,338.95,338.95,0
6221155123442,كنور مرقة دجاج - 24 مكعب,18.75,18.75,0
6224000493394,دقيق قمح أحلى مذاق - 1 كجم,18.95,18.95,0
6224000200527,لسان عصفور رويال - 1كجم,24.95,24.95,0
6223001510840,شعرية ايطاليانو - 400 جرام,15.7,13.45,14.331210191082802
6224007367988,ريحانة خل طبيعي - 1 لتر,10.75,9.95,7.441860465116286
6224009352432,دولفين تونة مفتتة سهلة الفتح - 200 جم,29.55,24.95,15.566835871404402
6223001060758,فول مدمس سادة من هارفست - 400 جم,13.1,11.95,8.778625954198477
6223000264379,زيت عافية ذرة بلس - 2.2 لتر,170.45,170.45,0
6223000264126,زيت خليط حلوة - 700 مل,41.9,41.9,0
6223001512158,مكرونة خواتم كبيرة الملكة - 400 جرام,9.45,9.45,0
9415007019374,سمن طبيعي من فيرن - 700 جم,215,189.95,11.65116279069768
80177173,شوكولاتة سبريد بالبندق نوتيلا - 350 جم,92.35,84.95,8.01299404439631
6224001074004,أرز الساعة - 1كجم,36.5,36.5,0
6224000200558,مكرونة خواتم من رويال - 1 كجم,24.95,24.95,0
6224009197071,لمتنا مكرونه اسباجتى -400 جم,10.25,10.25,0
6221155123763,كنور تتبيلة البطاطس - 6 جرام,2.2,2.2,0
6224000529024,علبة تونة قطعة واحدة سهلة الفتح من دولفين، 200 جم,49.95,49.95,0
6221033111318,صلصة طماطم هاينز - 360جم,22,22,0
6223000411001,سناكس باف بالجبنة من ويندز، 93 جرام,4.85,4.85,0
6222000508575,كريستال زيت الدره - 2.2 لتر,194,194,0
6224000200510,مكرونة هلالية من رويال - 1 كجم,24.95,24.95,0
6223003942922,خميرة فورية جافة دريم - 11 جم,2.7,2.7,0
5285000396437,إندومي شعيرية سريعة التحضير بطعم اللحمة - 70 جرام,4.65,4.65,0
6224009197088,لمتنا مكرونة فرن - 400 جم,10.25,10.25,0
89686120073,شعرية اندومي بالدجاج سريعة التحضير - 70 جم,4.65,4.65,0
6223001510833,ايطاليانو مكرونة خواتم - 400 جم,15.7,13.45,14.331210191082802
6223000263624,زيت عباد الشمس من سلايت - 2.25 لتر,136.45,136.45,0
6224010968226,شعيرية لمتنا - 1 كجم,24.5,24.5,0
6223001642596,زيت خليط سندباد - 700 مل,44.95,39.95,11.123470522803114
6221155146625,فيجيتار لتتبيل الدجاج من كنور فاين فودز - 35 جرام,3.75,3.75,0
6223001086222,بيكنج بودر دريم - 16 جم,2.7,2.7,0
6223000760215,البوادى حلاوة سادة - 1000جم,97.25,97.25,0
6224009197125,لمتنا مكرونة شعرية - 400 جم,10.25,10.25,0
6222000512077,زيت قلي من قلية - 700 مل,42.4,42.4,0
6224000342432,فينجو خل طبيعي - 1 لتر,11.95,10.95,8.368200836820085
6223000410912,سناكس بريك فريش بالخضروات - 93 جرام,4.85,4.85,0
89686120714,شعيرية مقلية من إندومي، 80 جرام,6.5,6.5,0
6224009197101,لمتنا مكرونة مرمرية - 400 جم,10.25,10.25,0
5285000395164,اندومي سوبرمي نودلز خضار 70ج,4.65,4.65,0
6221155146618,فيجيتار حار لتتبيل الدجاج من كنور فاين فودز - 35 جرام,3.75,3.75,0
6223000663608,مكرونة فرن من المطبخ المصرى - 400 جرام,10.05,10.05,0
6224009197118,لمتنا مكرونة هلالية - 400 جم,10.25,10.25,0
5285000395140,شعرية سريعة التحضير بالخضار من اندومي - 120 جم,6.35,5.45,14.173228346456684
6221007038122,خلطة البشاميل بالجبن من ماجي- 75 جرام,10,10,0
6222000505314,كريستال زيت عباد الشمس - 1.6 لتر,117.85,117.85,0
6223000663653,شعرية من المطبخ المصري - 400 جرام,10.05,10.05,0
6223000508572,تايجر بطاطس بالفلفل الحلو - 71 جم,4.85,4.85,0
6221033175914,خل هاينز - 1 لتر,14.55,14.55,0
6223000417485,رقائق بطاطس ليون بنكهة الجبنة المتبلة - 74 جرام,4.85,4,17.525773195876283
6223005620248,الأصيل مكرونة مرمرية - 300 جرام,6.95,6.45,7.194244604316546
6221033004337,صلصة طماطم هاينز، 340 جم - 4 عبوة,84.95,84.95,0
6224009197132,لمتنا مكرونة لسان عصقور - 400 جم,10.25,10.25,0
5285000397465,شعرية إندومي شريعة التحضير بطعم الدجاج البلدي - 70جم,4.65,4.65,0
6223000263716,زيت خليط حلوة - 2.25 لتر,121,121,0
6224010968172,مكرونة لمتنا سباجيتي - 1كجم,24.5,24.5,0
6224008985273,أرز بسمتي ذهبي من الباشا - 1 كجم,59.95,59.95,0
