product_id,product_name,price_after,price_before,discount
8420701103435.00,ار اس زيت زيتون-اسبانى500مل,188.25,188.25,0
6221007036678.00,ماجى مرقة دجاج 8مكعب-عرض,6.45,7.45,13.42281879
6221033125315.00,هاينز صوص مكرونة-365جم,34.45,34.45,0
6222000507264.00,كريستال زيت عباد-5لتر,356.45,356.45,0
6222000512084.00,قلية زيت طهى-1لتر,58.25,58.25,0
6222000512220.00,قلية زيت طهى 2-1لتر,121.95,121.95,0
6223001030508.00,كوكس ملح-700جم,8.75,8.75,0
6224007250006.00,الخير ملح طعام-250جم,1.25,1.25,0
6224007250020.00,نور ملح طعام-700جم,9.25,9.25,0
6224007250310.00,نور ملح طعام ناعم-200جم,1.75,1.75,0
6224007250792.00,الخير ملح طعام 600جم-كيس,2.25,2.25,0
6223000661574.00,الضحى ورق لورا كيس-3جم,9.75,9.75,0
6223000663059.00,الضحى كزبرة ناعمة-100جم,19.25,19.25,0
6223000661550.00,الضحى قرفة-20جم,12.95,12.95,0
8410179100050.00,بورجس زيت زيتون اكسترا-250مل,114.45,114.45,0
6223000190425.00,وادى فود زيت زيتون-ممتاز1لتر,298.95,298.95,0
6223000190036.00,وادى فود زيت زيتون زجاج م-500,184.95,184.95,0
6223000662762.00,الضحى نعناع مجفف-20جم,18.25,18.25,0
6223000661604.00,الضحى مستكة تركى كيس-3جم,72.75,72.75,0
6223000661567.00,الضحى شطة مطحونة-كيس20جم,9.75,9.75,0
6223000661505.00,الضحى فلفل اسود-20جم,12.95,12.95,0
6221155044303.00,كنور خلطة البشاميل 70جم-خصم,7.95,7.95,0
6225000105775.00,كرمة زيت جوزهند-250مل,63.25,63.25,0
6223000662267.00,الضحى فلفل اسود-230جم,104.75,104.75,0
6223000263747.00,عافية زيت عباد الشمس 1 6-لتر,114.75,114.75,0
6224009361274.00,زامرا كسر خبز بانكو-1كجم,197.45,197.45,0
6224008070429.00,شيفى مكس خلطة المحشى-50ج,7.25,7.25,0
6221155048073.00,كنور خلطة كفتة 35جم-خصم,6.45,6.45,0
6222000512749.00,قلية زيت طهى 4-5لتر,254.45,254.45,0
6287015740822.00,اسناد مسحوق ببريكا مدخن-75جم,58.95,58.95,0
6222000508513.00,كريستال زيت عباد 0 8-لتر,61.25,61.25,0
6223000264379.00,عافية زيت ذرة بلس 2-2لتر,176.95,176.95,0
6222000508551.00,كريستال زيت عباد 2-2لتر,159.75,159.75,0
